,date,wsj,price
0,0,0.0,85.66999816894531
1,3,0.0,83.3499984741211
2,4,0.0,81.72000122070312
3,5,0.0,81.70999908447266
4,6,0.0,82.69999694824219
5,7,0.0,81.22000122070312
6,10,0.0,78.05000305175781
7,11,0.0,77.77999877929688
8,12,0.0,78.38999938964844
9,13,0.0,76.62999725341797
10,14,-0.2732,81.33000183105469
11,18,0.0,80.4800033569336
12,19,0.0,82.20999908447266
13,20,0.0,82.13999938964844
14,21,0.0,82.0
15,24,0.0,83.68000030517578
16,25,0.0,84.55000305175781
17,26,0.0,80.75
18,27,0.0,81.9000015258789
19,28,0.0,82.38999938964844
20,31,0.0,84.63999938964844
21,32,0.0,87.08000183105469
22,33,0.0,84.55000305175781
23,34,0.0,85.91999816894531
24,35,0.0,86.16000366210938
25,38,0.0,85.81999969482422
26,39,0.0,85.22000122070312
27,40,0.0,84.7300033569336
28,41,0.0,85.95999908447266
29,42,0.0,88.37999725341797
30,46,0.0,88.88999938964844
31,47,0.0,87.73999786376953
32,48,0.0,86.9800033569336
33,49,0.0,85.87999725341797
34,52,0.0,85.54000091552734
35,53,0.0,85.30999755859375
36,54,0.0,85.20999908447266
37,55,0.0,83.88999938964844
38,56,0.0,84.16000366210938
39,59,0.0,84.62000274658203
40,60,0.0,84.91000366210938
41,61,0.0,85.13999938964844
42,62,0.0,84.81999969482422
43,63,0.0,83.11000061035156
44,66,0.0,82.36000061035156
45,67,0.0,81.30999755859375
46,68,0.0,81.2699966430664
47,69,0.0,80.94000244140625
48,70,0.0,80.41999816894531
49,73,0.0,81.26000213623047
50,74,0.0,80.47000122070312
51,75,0.0,82.05000305175781
52,76,0.0,81.01000213623047
53,77,0.0,82.37000274658203
54,80,0.0,82.0
55,81,0.0,81.8499984741211
56,82,0.0,83.29000091552734
57,83,0.0,83.16000366210938
58,84,0.0,83.30999755859375
59,87,0.0,84.4800033569336
60,88,0.0,83.44000244140625
61,89,0.0,84.27999877929688
62,90,0.0,84.38999938964844
63,94,0.0,85.91000366210938
64,95,0.0,86.2699966430664
65,96,0.0,86.12000274658203
66,97,0.0,88.44999694824219
67,98,0.0,89.11000061035156
68,101,0.0,88.0199966430664
69,102,0.0,88.80000305175781
70,103,0.0,92.0
71,104,0.0,91.88999938964844
72,105,0.2263,92.86000061035156
73,108,0.0,92.47000122070312
74,109,0.0,91.29000091552734
75,110,0.0,92.16000366210938
76,111,0.0,93.05000305175781
77,112,0.0,91.61000061035156
78,115,0.0,92.33000183105469
79,116,0.0,92.66000366210938
80,117,0.0,94.27999877929688
81,118,0.0,94.61000061035156
82,119,0.0,93.0
83,122,0.0,92.9800033569336
84,123,0.0,92.04000091552734
85,124,0.0,92.2699966430664
86,125,0.0,90.2300033569336
87,126,0.0,92.43000030517578
88,129,0.0,91.7699966430664
89,130,0.0,92.47000122070312
90,131,0.0,92.51000213623047
91,132,0.0,92.16999816894531
92,133,0.0,92.13999938964844
93,136,0.0,92.75
94,137,0.0,90.55999755859375
95,138,0.0,90.75
96,139,0.0,92.02999877929688
97,140,0.0,92.0199966430664
98,144,0.0,90.73999786376953
99,145,0.0,91.0
100,146,0.0,90.6500015258789
101,147,0.0,90.7699966430664
102,150,0.0,90.6500015258789
